revision,code,name
200512,110000,北京市
200512,110101,东城区
200512,110102,西城区
200512,110103,崇文区
200512,110104,宣武区
200512,110105,朝阳区
200512,110106,丰台区
200512,110107,石景山区
200512,110108,海淀区
200512,110109,门头沟区
200512,110111,房山区
200512,110112,通州区
200512,110113,顺义区
200512,110114,昌平区
200512,110115,大兴区
200512,110116,怀柔区
200512,110117,平谷区
200512,110228,密云县
200512,110229,延庆县
200512,120000,天津市
200512,120101,和平区
200512,120102,河东区
200512,120103,河西区
200512,120104,南开区
200512,120105,河北区
200512,120106,红桥区
200512,120107,塘沽区
200512,120108,汉沽区
200512,120109,大港区
200512,120110,东丽区
200512,120111,西青区
200512,120112,津南区
200512,120113,北辰区
200512,120114,武清区
200512,120115,宝坻区
200512,120221,宁河县
200512,120223,静海县
200512,120225,蓟县
200512,130000,河北省
200512,130100,石家庄市
200512,130102,长安区
200512,130103,桥东区
200512,130104,桥西区
200512,130105,新华区
200512,130107,井陉矿区
200512,130108,裕华区
200512,130121,井陉县
200512,130123,正定县
200512,130124,栾城县
200512,130125,行唐县
200512,130126,灵寿县
200512,130127,高邑县
200512,130128,深泽县
200512,130129,赞皇县
200512,130130,无极县
200512,130131,平山县
200512,130132,元氏县
200512,130133,赵县
200512,130181,辛集市
200512,130182,藁城市
200512,130183,晋州市
200512,130184,新乐市
200512,130185,鹿泉市
200512,130200,唐山市
200512,130202,路南区
200512,130203,路北区
200512,130204,古冶区
200512,130205,开平区
200512,130207,丰南区
200512,130208,丰润区
200512,130223,滦县
200512,130224,滦南县
200512,130225,乐亭县
200512,130227,迁西县
200512,130229,玉田县
200512,130230,唐海县
200512,130281,遵化市
200512,130283,迁安市
200512,130300,秦皇岛市
200512,130302,海港区
200512,130303,山海关区
200512,130304,北戴河区
200512,130321,青龙满族自治县
200512,130322,昌黎县
200512,130323,抚宁县
200512,130324,卢龙县
200512,130400,邯郸市
200512,130402,邯山区
200512,130403,丛台区
200512,130404,复兴区
200512,130406,峰峰矿区
200512,130421,邯郸县
200512,130423,临漳县
200512,130424,成安县
200512,130425,大名县
200512,130426,涉县
200512,130427,磁县
200512,130428,肥乡县
200512,130429,永年县
200512,130430,邱县
200512,130431,鸡泽县
200512,130432,广平县
200512,130433,馆陶县
200512,130434,魏县
200512,130435,曲周县
200512,130481,武安市
200512,130500,邢台市
200512,130502,桥东区
200512,130503,桥西区
200512,130521,邢台县
200512,130522,临城县
200512,130523,内丘县
200512,130524,柏乡县
200512,130525,隆尧县
200512,130526,任县
200512,130527,南和县
200512,130528,宁晋县
200512,130529,巨鹿县
200512,130530,新河县
200512,130531,广宗县
200512,130532,平乡县
200512,130533,威县
200512,130534,清河县
200512,130535,临西县
200512,130581,南宫市
200512,130582,沙河市
200512,130600,保定市
200512,130602,新市区
200512,130603,北市区
200512,130604,南市区
200512,130621,满城县
200512,130622,清苑县
200512,130623,涞水县
200512,130624,阜平县
200512,130625,徐水县
200512,130626,定兴县
200512,130627,唐县
200512,130628,高阳县
200512,130629,容城县
200512,130630,涞源县
200512,130631,望都县
200512,130632,安新县
200512,130633,易县
200512,130634,曲阳县
200512,130635,蠡县
200512,130636,顺平县
200512,130637,博野县
200512,130638,雄县
200512,130681,涿州市
200512,130682,定州市
200512,130683,安国市
200512,130684,高碑店市
200512,130700,张家口市
200512,130702,桥东区
200512,130703,桥西区
200512,130705,宣化区
200512,130706,下花园区
200512,130721,宣化县
200512,130722,张北县
200512,130723,康保县
200512,130724,沽源县
200512,130725,尚义县
200512,130726,蔚县
200512,130727,阳原县
200512,130728,怀安县
200512,130729,万全县
200512,130730,怀来县
200512,130731,涿鹿县
200512,130732,赤城县
200512,130733,崇礼县
200512,130800,承德市
200512,130802,双桥区
200512,130803,双滦区
200512,130804,鹰手营子矿区
200512,130821,承德县
200512,130822,兴隆县
200512,130823,平泉县
200512,130824,滦平县
200512,130825,隆化县
200512,130826,丰宁满族自治县
200512,130827,宽城满族自治县
200512,130828,围场满族蒙古族自治县
200512,130900,沧州市
200512,130902,新华区
200512,130903,运河区
200512,130921,沧县
200512,130922,青县
200512,130923,东光县
200512,130924,海兴县
200512,130925,盐山县
200512,130926,肃宁县
200512,130927,南皮县
200512,130928,吴桥县
200512,130929,献县
200512,130930,孟村回族自治县
200512,130981,泊头市
200512,130982,任丘市
200512,130983,黄骅市
200512,130984,河间市
200512,131000,廊坊市
200512,131002,安次区
200512,131003,广阳区
200512,131022,固安县
200512,131023,永清县
200512,131024,香河县
200512,131025,大城县
200512,131026,文安县
200512,131028,大厂回族自治县
200512,131081,霸州市
200512,131082,三河市
200512,131100,衡水市
200512,131102,桃城区
200512,131121,枣强县
200512,131122,武邑县
200512,131123,武强县
200512,131124,饶阳县
200512,131125,安平县
200512,131126,故城县
200512,131127,景县
200512,131128,阜城县
200512,131181,冀州市
200512,131182,深州市
200512,140000,山西省
200512,140100,太原市
200512,140105,小店区
200512,140106,迎泽区
200512,140107,杏花岭区
200512,140108,尖草坪区
200512,140109,万柏林区
200512,140110,晋源区
200512,140121,清徐县
200512,140122,阳曲县
200512,140123,娄烦县
200512,140181,古交市
200512,140200,大同市
200512,140202,城区
200512,140203,矿区
200512,140211,南郊区
200512,140212,新荣区
200512,140221,阳高县
200512,140222,天镇县
200512,140223,广灵县
200512,140224,灵丘县
200512,140225,浑源县
200512,140226,左云县
200512,140227,大同县
200512,140300,阳泉市
200512,140302,城区
200512,140303,矿区
200512,140311,郊区
200512,140321,平定县
200512,140322,盂县
200512,140400,长治市
200512,140402,城区
200512,140411,郊区
200512,140421,长治县
200512,140423,襄垣县
200512,140424,屯留县
200512,140425,平顺县
200512,140426,黎城县
200512,140427,壶关县
200512,140428,长子县
200512,140429,武乡县
200512,140430,沁县
200512,140431,沁源县
200512,140481,潞城市
200512,140500,晋城市
200512,140502,城区
200512,140521,沁水县
200512,140522,阳城县
200512,140524,陵川县
200512,140525,泽州县
200512,140581,高平市
200512,140600,朔州市
200512,140602,朔城区
200512,140603,平鲁区
200512,140621,山阴县
200512,140622,应县
200512,140623,右玉县
200512,140624,怀仁县
200512,140700,晋中市
200512,140702,榆次区
200512,140721,榆社县
200512,140722,左权县
200512,140723,和顺县
200512,140724,昔阳县
200512,140725,寿阳县
200512,140726,太谷县
200512,140727,祁县
200512,140728,平遥县
200512,140729,灵石县
200512,140781,介休市
200512,140800,运城市
200512,140802,盐湖区
200512,140821,临猗县
200512,140822,万荣县
200512,140823,闻喜县
200512,140824,稷山县
200512,140825,新绛县
200512,140826,绛县
200512,140827,垣曲县
200512,140828,夏县
200512,140829,平陆县
200512,140830,芮城县
200512,140881,永济市
200512,140882,河津市
200512,140900,忻州市
200512,140902,忻府区
200512,140921,定襄县
200512,140922,五台县
200512,140923,代县
200512,140924,繁峙县
200512,140925,宁武县
200512,140926,静乐县
200512,140927,神池县
200512,140928,五寨县
200512,140929,岢岚县
200512,140930,河曲县
200512,140931,保德县
200512,140932,偏关县
200512,140981,原平市
200512,141000,临汾市
200512,141002,尧都区
200512,141021,曲沃县
200512,141022,翼城县
200512,141023,襄汾县
200512,141024,洪洞县
200512,141025,古县
200512,141026,安泽县
200512,141027,浮山县
200512,141028,吉县
200512,141029,乡宁县
200512,141030,大宁县
200512,141031,隰县
200512,141032,永和县
200512,141033,蒲县
200512,141034,汾西县
200512,141081,侯马市
200512,141082,霍州市
200512,141100,吕梁市
200512,141102,离石区
200512,141121,文水县
200512,141122,交城县
200512,141123,兴县
200512,141124,临县
200512,141125,柳林县
200512,141126,石楼县
200512,141127,岚县
200512,141128,方山县
200512,141129,中阳县
200512,141130,交口县
200512,141181,孝义市
200512,141182,汾阳市
200512,150000,内蒙古自治区
200512,150100,呼和浩特市
200512,150102,新城区
200512,150103,回民区
200512,150104,玉泉区
200512,150105,赛罕区
200512,150121,土默特左旗
200512,150122,托克托县
200512,150123,和林格尔县
200512,150124,清水河县
200512,150125,武川县
200512,150200,包头市
200512,150202,东河区
200512,150203,昆都仑区
200512,150204,青山区
200512,150205,石拐区
200512,150206,白云矿区
200512,150207,九原区
200512,150221,土默特右旗
200512,150222,固阳县
200512,150223,达尔罕茂明安联合旗
200512,150300,乌海市
200512,150302,海勃湾区
200512,150303,海南区
200512,150304,乌达区
200512,150400,赤峰市
200512,150402,红山区
200512,150403,元宝山区
200512,150404,松山区
200512,150421,阿鲁科尔沁旗
200512,150422,巴林左旗
200512,150423,巴林右旗
200512,150424,林西县
200512,150425,克什克腾旗
200512,150426,翁牛特旗
200512,150428,喀喇沁旗
200512,150429,宁城县
200512,150430,敖汉旗
200512,150500,通辽市
200512,150502,科尔沁区
200512,150521,科尔沁左翼中旗
200512,150522,科尔沁左翼后旗
200512,150523,开鲁县
200512,150524,库伦旗
200512,150525,奈曼旗
200512,150526,扎鲁特旗
200512,150581,霍林郭勒市
200512,150600,鄂尔多斯市
200512,150602,东胜区
200512,150621,达拉特旗
200512,150622,准格尔旗
200512,150623,鄂托克前旗
200512,150624,鄂托克旗
200512,150625,杭锦旗
200512,150626,乌审旗
200512,150627,伊金霍洛旗
200512,150700,呼伦贝尔市
200512,150702,海拉尔区
200512,150721,阿荣旗
200512,150722,莫力达瓦达斡尔族自治旗
200512,150723,鄂伦春自治旗
200512,150724,鄂温克族自治旗
200512,150725,陈巴尔虎旗
200512,150726,新巴尔虎左旗
200512,150727,新巴尔虎右旗
200512,150781,满洲里市
200512,150782,牙克石市
200512,150783,扎兰屯市
200512,150784,额尔古纳市
200512,150785,根河市
200512,150800,巴彦淖尔市
200512,150802,临河区
200512,150821,五原县
200512,150822,磴口县
200512,150823,乌拉特前旗
200512,150824,乌拉特中旗
200512,150825,乌拉特后旗
200512,150826,杭锦后旗
200512,150900,乌兰察布市
200512,150902,集宁区
200512,150921,卓资县
200512,150922,化德县
200512,150923,商都县
200512,150924,兴和县
200512,150925,凉城县
200512,150926,察哈尔右翼前旗
200512,150927,察哈尔右翼中旗
200512,150928,察哈尔右翼后旗
200512,150929,四子王旗
200512,150981,丰镇市
200512,152200,兴安盟
200512,152201,乌兰浩特市
200512,152202,阿尔山市
200512,152221,科尔沁右翼前旗
200512,152222,科尔沁右翼中旗
200512,152223,扎赉特旗
200512,152224,突泉县
200512,152500,锡林郭勒盟
200512,152501,二连浩特市
200512,152502,锡林浩特市
200512,152522,阿巴嘎旗
200512,152523,苏尼特左旗
200512,152524,苏尼特右旗
200512,152525,东乌珠穆沁旗
200512,152526,西乌珠穆沁旗
200512,152527,太仆寺旗
200512,152528,镶黄旗
200512,152529,正镶白旗
200512,152530,正蓝旗
200512,152531,多伦县
200512,152900,阿拉善盟
200512,152921,阿拉善左旗
200512,152922,阿拉善右旗
200512,152923,额济纳旗
200512,210000,辽宁省
200512,210100,沈阳市
200512,210102,和平区
200512,210103,沈河区
200512,210104,大东区
200512,210105,皇姑区
200512,210106,铁西区
200512,210111,苏家屯区
200512,210112,东陵区
200512,210113,新城子区
200512,210114,于洪区
200512,210122,辽中县
200512,210123,康平县
200512,210124,法库县
200512,210181,新民市
200512,210200,大连市
200512,210202,中山区
200512,210203,西岗区
200512,210204,沙河口区
200512,210211,甘井子区
200512,210212,旅顺口区
200512,210213,金州区
200512,210224,长海县
200512,210281,瓦房店市
200512,210282,普兰店市
200512,210283,庄河市
200512,210300,鞍山市
200512,210302,铁东区
200512,210303,铁西区
200512,210304,立山区
200512,210311,千山区
200512,210321,台安县
200512,210323,岫岩满族自治县
200512,210381,海城市
200512,210400,抚顺市
200512,210402,新抚区
200512,210403,东洲区
200512,210404,望花区
200512,210411,顺城区
200512,210421,抚顺县
200512,210422,新宾满族自治县
200512,210423,清原满族自治县
200512,210500,本溪市
200512,210502,平山区
200512,210503,溪湖区
200512,210504,明山区
200512,210505,南芬区
200512,210521,本溪满族自治县
200512,210522,桓仁满族自治县
200512,210600,丹东市
200512,210602,元宝区
200512,210603,振兴区
200512,210604,振安区
200512,210624,宽甸满族自治县
200512,210681,东港市
200512,210682,凤城市
200512,210700,锦州市
200512,210702,古塔区
200512,210703,凌河区
200512,210711,太和区
200512,210726,黑山县
200512,210727,义县
200512,210781,凌海市
200512,210782,北宁市
200512,210800,营口市
200512,210802,站前区
200512,210803,西市区
200512,210804,鲅鱼圈区
200512,210811,老边区
200512,210881,盖州市
200512,210882,大石桥市
200512,210900,阜新市
200512,210902,海州区
200512,210903,新邱区
200512,210904,太平区
200512,210905,清河门区
200512,210911,细河区
200512,210921,阜新蒙古族自治县
200512,210922,彰武县
200512,211000,辽阳市
200512,211002,白塔区
200512,211003,文圣区
200512,211004,宏伟区
200512,211005,弓长岭区
200512,211011,太子河区
200512,211021,辽阳县
200512,211081,灯塔市
200512,211100,盘锦市
200512,211102,双台子区
200512,211103,兴隆台区
200512,211121,大洼县
200512,211122,盘山县
200512,211200,铁岭市
200512,211202,银州区
200512,211204,清河区
200512,211221,铁岭县
200512,211223,西丰县
200512,211224,昌图县
200512,211281,调兵山市
200512,211282,开原市
200512,211300,朝阳市
200512,211302,双塔区
200512,211303,龙城区
200512,211321,朝阳县
200512,211322,建平县
200512,211324,喀喇沁左翼蒙古族自治县
200512,211381,北票市
200512,211382,凌源市
200512,211400,葫芦岛市
200512,211402,连山区
200512,211403,龙港区
200512,211404,南票区
200512,211421,绥中县
200512,211422,建昌县
200512,211481,兴城市
200512,220000,吉林省
200512,220100,长春市
200512,220102,南关区
200512,220103,宽城区
200512,220104,朝阳区
200512,220105,二道区
200512,220106,绿园区
200512,220112,双阳区
200512,220122,农安县
200512,220181,九台市
200512,220182,榆树市
200512,220183,德惠市
200512,220200,吉林市
200512,220202,昌邑区
200512,220203,龙潭区
200512,220204,船营区
200512,220211,丰满区
200512,220221,永吉县
200512,220281,蛟河市
200512,220282,桦甸市
200512,220283,舒兰市
200512,220284,磐石市
200512,220300,四平市
200512,220302,铁西区
200512,220303,铁东区
200512,220322,梨树县
200512,220323,伊通满族自治县
200512,220381,公主岭市
200512,220382,双辽市
200512,220400,辽源市
200512,220402,龙山区
200512,220403,西安区
200512,220421,东丰县
200512,220422,东辽县
200512,220500,通化市
200512,220502,东昌区
200512,220503,二道江区
200512,220521,通化县
200512,220523,辉南县
200512,220524,柳河县
200512,220581,梅河口市
200512,220582,集安市
200512,220600,白山市
200512,220602,八道江区
200512,220621,抚松县
200512,220622,靖宇县
200512,220623,长白朝鲜族自治县
200512,220625,江源县
200512,220681,临江市
200512,220700,松原市
200512,220702,宁江区
200512,220721,前郭尔罗斯蒙古族自治县
200512,220722,长岭县
200512,220723,乾安县
200512,220724,扶余县
200512,220800,白城市
200512,220802,洮北区
200512,220821,镇赉县
200512,220822,通榆县
200512,220881,洮南市
200512,220882,大安市
200512,222400,延边朝鲜族自治州
200512,222401,延吉市
200512,222402,图们市
200512,222403,敦化市
200512,222404,珲春市
200512,222405,龙井市
200512,222406,和龙市
200512,222424,汪清县
200512,222426,安图县
200512,230000,黑龙江省
200512,230100,哈尔滨市
200512,230102,道里区
200512,230103,南岗区
200512,230104,道外区
