revision,code,name
200612,110000,北京市
200612,110101,东城区
200612,110102,西城区
200612,110103,崇文区
200612,110104,宣武区
200612,110105,朝阳区
200612,110106,丰台区
200612,110107,石景山区
200612,110108,海淀区
200612,110109,门头沟区
200612,110111,房山区
200612,110112,通州区
200612,110113,顺义区
200612,110114,昌平区
200612,110115,大兴区
200612,110116,怀柔区
200612,110117,平谷区
200612,110228,密云县
200612,110229,延庆县
200612,120000,天津市
200612,120101,和平区
200612,120102,河东区
200612,120103,河西区
200612,120104,南开区
200612,120105,河北区
200612,120106,红桥区
200612,120107,塘沽区
200612,120108,汉沽区
200612,120109,大港区
200612,120110,东丽区
200612,120111,西青区
200612,120112,津南区
200612,120113,北辰区
200612,120114,武清区
200612,120115,宝坻区
200612,120221,宁河县
200612,120223,静海县
200612,120225,蓟县
200612,130000,河北省
200612,130100,石家庄市
200612,130102,长安区
200612,130103,桥东区
200612,130104,桥西区
200612,130105,新华区
200612,130107,井陉矿区
200612,130108,裕华区
200612,130121,井陉县
200612,130123,正定县
200612,130124,栾城县
200612,130125,行唐县
200612,130126,灵寿县
200612,130127,高邑县
200612,130128,深泽县
200612,130129,赞皇县
200612,130130,无极县
200612,130131,平山县
200612,130132,元氏县
200612,130133,赵县
200612,130181,辛集市
200612,130182,藁城市
200612,130183,晋州市
200612,130184,新乐市
200612,130185,鹿泉市
200612,130200,唐山市
200612,130202,路南区
200612,130203,路北区
200612,130204,古冶区
200612,130205,开平区
200612,130207,丰南区
200612,130208,丰润区
200612,130223,滦县
200612,130224,滦南县
200612,130225,乐亭县
200612,130227,迁西县
200612,130229,玉田县
200612,130230,唐海县
200612,130281,遵化市
200612,130283,迁安市
200612,130300,秦皇岛市
200612,130302,海港区
200612,130303,山海关区
200612,130304,北戴河区
200612,130321,青龙满族自治县
200612,130322,昌黎县
200612,130323,抚宁县
200612,130324,卢龙县
200612,130400,邯郸市
200612,130402,邯山区
200612,130403,丛台区
200612,130404,复兴区
200612,130406,峰峰矿区
200612,130421,邯郸县
200612,130423,临漳县
200612,130424,成安县
200612,130425,大名县
200612,130426,涉县
200612,130427,磁县
200612,130428,肥乡县
200612,130429,永年县
200612,130430,邱县
200612,130431,鸡泽县
200612,130432,广平县
200612,130433,馆陶县
200612,130434,魏县
200612,130435,曲周县
200612,130481,武安市
200612,130500,邢台市
200612,130502,桥东区
200612,130503,桥西区
200612,130521,邢台县
200612,130522,临城县
200612,130523,内丘县
200612,130524,柏乡县
200612,130525,隆尧县
200612,130526,任县
200612,130527,南和县
200612,130528,宁晋县
200612,130529,巨鹿县
200612,130530,新河县
200612,130531,广宗县
200612,130532,平乡县
200612,130533,威县
200612,130534,清河县
200612,130535,临西县
200612,130581,南宫市
200612,130582,沙河市
200612,130600,保定市
200612,130602,新市区
200612,130603,北市区
200612,130604,南市区
200612,130621,满城县
200612,130622,清苑县
200612,130623,涞水县
200612,130624,阜平县
200612,130625,徐水县
200612,130626,定兴县
200612,130627,唐县
200612,130628,高阳县
200612,130629,容城县
200612,130630,涞源县
200612,130631,望都县
200612,130632,安新县
200612,130633,易县
200612,130634,曲阳县
200612,130635,蠡县
200612,130636,顺平县
200612,130637,博野县
200612,130638,雄县
200612,130681,涿州市
200612,130682,定州市
200612,130683,安国市
200612,130684,高碑店市
200612,130700,张家口市
200612,130702,桥东区
200612,130703,桥西区
200612,130705,宣化区
200612,130706,下花园区
200612,130721,宣化县
200612,130722,张北县
200612,130723,康保县
200612,130724,沽源县
200612,130725,尚义县
200612,130726,蔚县
200612,130727,阳原县
200612,130728,怀安县
200612,130729,万全县
200612,130730,怀来县
200612,130731,涿鹿县
200612,130732,赤城县
200612,130733,崇礼县
200612,130800,承德市
200612,130802,双桥区
200612,130803,双滦区
200612,130804,鹰手营子矿区
200612,130821,承德县
200612,130822,兴隆县
200612,130823,平泉县
200612,130824,滦平县
200612,130825,隆化县
200612,130826,丰宁满族自治县
200612,130827,宽城满族自治县
200612,130828,围场满族蒙古族自治县
200612,130900,沧州市
200612,130902,新华区
200612,130903,运河区
200612,130921,沧县
200612,130922,青县
200612,130923,东光县
200612,130924,海兴县
200612,130925,盐山县
