revision,code,name
202006,110000,北京市
202006,110101,东城区
202006,110102,西城区
202006,110105,朝阳区
202006,110106,丰台区
202006,110107,石景山区
202006,110108,海淀区
202006,110109,门头沟区
202006,110111,房山区
202006,110112,通州区
202006,110113,顺义区
202006,110114,昌平区
202006,110115,大兴区
202006,110116,怀柔区
202006,110117,平谷区
202006,110118,密云区
202006,110119,延庆区
202006,120000,天津市
202006,120101,和平区
202006,120102,河东区
202006,120103,河西区
202006,120104,南开区
202006,120105,河北区
202006,120106,红桥区
202006,120110,东丽区
202006,120111,西青区
202006,120112,津南区
202006,120113,北辰区
202006,120114,武清区
202006,120115,宝坻区
202006,120116,滨海新区
202006,120117,宁河区
202006,120118,静海区
202006,120119,蓟州区
202006,130000,河北省
202006,130100,石家庄市
202006,130102,长安区
202006,130104,桥西区
202006,130105,新华区
202006,130107,井陉矿区
202006,130108,裕华区
202006,130109,藁城区
202006,130110,鹿泉区
202006,130111,栾城区
202006,130121,井陉县
202006,130123,正定县
202006,130125,行唐县
202006,130126,灵寿县
202006,130127,高邑县
202006,130128,深泽县
202006,130129,赞皇县
202006,130130,无极县
202006,130131,平山县
202006,130132,元氏县
202006,130133,赵县
202006,130181,辛集市
202006,130183,晋州市
202006,130184,新乐市
202006,130200,唐山市
202006,130202,路南区
202006,130203,路北区
202006,130204,古冶区
202006,130205,开平区
202006,130207,丰南区
202006,130208,丰润区
202006,130209,曹妃甸区
202006,130224,滦南县
202006,130225,乐亭县
202006,130227,迁西县
202006,130229,玉田县
202006,130281,遵化市
202006,130283,迁安市
202006,130284,滦州市
202006,130300,秦皇岛市
202006,130302,海港区
202006,130303,山海关区
202006,130304,北戴河区
202006,130306,抚宁区
202006,130321,青龙满族自治县
202006,130322,昌黎县
202006,130324,卢龙县
202006,130400,邯郸市
202006,130402,邯山区
202006,130403,丛台区
202006,130404,复兴区
202006,130406,峰峰矿区
202006,130407,肥乡区
202006,130408,永年区
202006,130423,临漳县
202006,130424,成安县
202006,130425,大名县
202006,130426,涉县
202006,130427,磁县
202006,130430,邱县
202006,130431,鸡泽县
202006,130432,广平县
202006,130433,馆陶县
202006,130434,魏县
202006,130435,曲周县
202006,130481,武安市
202006,130500,邢台市
202006,130502,桥东区
202006,130503,桥西区
202006,130521,邢台县
202006,130522,临城县
202006,130523,内丘县
202006,130524,柏乡县
202006,130525,隆尧县
202006,130526,任县
202006,130527,南和县
202006,130528,宁晋县
202006,130529,巨鹿县
202006,130530,新河县
202006,130531,广宗县
202006,130532,平乡县
202006,130533,威县
202006,130534,清河县
202006,130535,临西县
202006,130581,南宫市
202006,130582,沙河市
202006,130600,保定市
202006,130602,竞秀区
202006,130606,莲池区
202006,130607,满城区
202006,130608,清苑区
202006,130609,徐水区
202006,130623,涞水县
202006,130624,阜平县
202006,130626,定兴县
202006,130627,唐县
202006,130628,高阳县
202006,130629,容城县
202006,130630,涞源县
202006,130631,望都县
202006,130632,安新县
202006,130633,易县
202006,130634,曲阳县
202006,130635,蠡县
202006,130636,顺平县
202006,130637,博野县
202006,130638,雄县
202006,130681,涿州市
202006,130682,定州市
202006,130683,安国市
202006,130684,高碑店市
202006,130700,张家口市
202006,130702,桥东区
202006,130703,桥西区
202006,130705,宣化区
202006,130706,下花园区
202006,130708,万全区
202006,130709,崇礼区
202006,130722,张北县
202006,130723,康保县
202006,130724,沽源县
202006,130725,尚义县
202006,130726,蔚县
202006,130727,阳原县
202006,130728,怀安县
202006,130730,怀来县
202006,130731,涿鹿县
202006,130732,赤城县
202006,130800,承德市
202006,130802,双桥区
202006,130803,双滦区
202006,130804,鹰手营子矿区
202006,130821,承德县
202006,130822,兴隆县
